,precision,recall,f1-score,support
NORM,0.6666666666666666,0.95,0.7835051546391752,200.0
MI,0.6477732793522267,0.8,0.7158836689038032,200.0
STTC,0.5776173285198556,0.8,0.6708595387840671,200.0
CD,0.9145299145299145,0.535,0.6750788643533123,200.0
HYP,0.8783783783783784,0.325,0.4744525547445255,200.0
accuracy,0.682,0.682,0.682,0.682
macro avg,0.7369931134894083,0.682,0.6639559562849767,1000.0
weighted avg,0.7369931134894084,0.682,0.6639559562849766,1000.0
