,precision,recall,f1-score,support
normal,0.90715667311412,0.938,0.9223205506391348,500.0
pathological,0.9358178053830227,0.904,0.9196337741607324,500.0
accuracy,0.921,0.921,0.921,0.921
macro avg,0.9214872392485713,0.921,0.9209771623999337,1000.0
weighted avg,0.9214872392485713,0.921,0.9209771623999337,1000.0
