,precision,recall,f1-score,support
normal,0.6181818181818182,0.6181818181818182,0.6181818181818182,55.0
pathological,0.5333333333333333,0.5333333333333333,0.5333333333333333,45.0
accuracy,0.58,0.58,0.58,0.58
macro avg,0.5757575757575757,0.5757575757575757,0.5757575757575757,100.0
weighted avg,0.58,0.58,0.58,100.0
